time_s,displacement_m
5.538415962793689,0.0248
5.555097938585238,0.0248
5.571779914376783,0.0248
5.588461890168331,0.0248
5.605143865959878,0.0248
5.621825841751425,0.0248
5.638507817542974,0.0248
5.65518979333452,0.0248
5.671871769126067,0.0248
5.6885537449176145,0.0248
5.7052357207091635,0.0248
5.721917696500709,0.0248
5.738599672292256,0.0248
5.755281648083804,0.0248
5.771963623875351,0.0248
5.788645599666896,0.0248
5.8053275754584455,0.0248
5.822009551249993,0.0252
5.838691527041538,0.0252
5.8553735028330856,0.0252
5.872055478624635,0.0252
5.88873745441618,0.0252
5.905419430207727,0.0252
5.9221014059992765,0.0252
5.938783381790824,0.0252
5.955465357582369,0.0252
5.972147333373918,0.0252
5.988829309165466,0.0252
6.005511284957013,0.0252
6.02219326074856,0.0252
6.038875236540109,0.0252
6.055557212331655,0.0252
6.072239188123202,0.0252
6.088921163914749,0.0252
6.105603139706295,0.0252
6.122285115497842,0.0252
6.138967091289389,0.0252
6.1556490670809385,0.0256
6.172331042872484,0.0256
6.189013018664031,0.0256
6.205694994455579,0.0256
6.222376970247128,0.0256
6.239058946038673,0.0256
6.2557409218302205,0.0256
6.2724228976217695,0.0256
6.289104873413317,0.0248
6.305786849204864,0.0248
6.322468824996411,0.0248
6.339150800787957,0.0248
6.355832776579504,0.0252
6.3725147523710515,0.0252
6.3891967281626005,0.0252
6.405878703954146,0.0252
6.422560679745693,0.0256
6.439242655537244,0.0256
6.45592463132879,0.0256
6.472606607120337,0.0256
6.4892885829118825,0.0256
6.5059705587034315,0.0256
6.522652534494977,0.0256
6.539334510286524,0.0256
6.556016486078072,0.0256
6.572698461869617,0.0256
6.589380437661164,0.0256
6.6060624134527135,0.0256
6.622744389244261,0.0256
6.639426365035808,0.0256
6.656108340827355,0.0256
6.672790316618903,0.0256
6.68947229241045,0.0256
6.706154268201997,0.0256
6.7228362439935445,0.0252
6.739518219785092,0.0252
6.756200195576639,0.0252
6.772882171368188,0.0252
6.789564147159734,0.0252
6.806246122951281,0.0252
6.8229280987428265,0.0252
6.8396100745343755,0.0256
6.856292050325921,0.0256
6.872974026117468,0.0256
6.889656001909016,0.0256
6.906337977700565,0.0256
6.923019953492112,0.0256
6.939701929283659,0.0256
6.9563839050752065,0.0256
6.973065880866754,0.0256
6.989747856658301,0.0256
7.006429832449848,0.0256
7.023111808241396,0.0256
7.039793784032943,0.0256
7.05647575982449,0.0256
7.0731577356160376,0.0256
7.089839711407585,0.0256
7.106521687199132,0.0256
7.123203662990679,0.0256
7.139885638782225,0.0256
7.156567614573772,0.0256
7.1732495903653195,0.0256
7.189931566156869,0.0256
7.206613541948416,0.0256
7.223295517739963,0.0256
7.23997749353151,0.0256
7.256659469323058,0.0256
7.273341445114605,0.026000000000000002
7.290023420906152,0.026000000000000002
7.3067053966977,0.026000000000000002
7.323387372489247,0.026000000000000002
7.340069348280794,0.026000000000000002
7.356751324072343,0.026000000000000002
7.373433299863889,0.0252
7.390115275655436,0.0252
7.406797251446983,0.0252
7.423479227238529,0.0252
7.440161203030078,0.0252
7.456843178821623,0.0252
7.473525154613171,0.0252
7.490207130404718,0.0256
7.5068891061962635,0.0256
7.5235710819878125,0.0256
7.540253057779358,0.0256
7.556935033570907,0.0256
7.573617009362456,0.0256
7.590298985154002,0.0256
7.606980960945549,0.0256
7.6236629367370945,0.0256
7.640344912528642,0.0256
7.657026888320191,0.0256
7.67370886411174,0.0256
7.690390839903287,0.0256
7.707072815694833,0.0256
7.72375479148638,0.0256
7.740436767277927,0.0256
7.757118743069475,0.0256
7.773800718861022,0.0256
7.790482694652567,0.0256
7.807164670444115,0.0256
7.823846646235662,0.0256
7.840528622027211,0.0252
7.857210597818758,0.0252
7.873892573610306,0.0256
7.890574549401853,0.0256
7.907256525193398,0.026000000000000002
7.9239385009849475,0.026000000000000002
7.940620476776495,0.026000000000000002
7.957302452568044,0.026000000000000002
7.973984428359589,0.026000000000000002
