time_s,displacement_pixels,displacement_cm,match_score
2.619070199272919286e+00,-4.600000000000000000e+01,-1.840000000000000080e+00,7.846993803977966309e-01
2.635752175064466574e+00,-4.600000000000000000e+01,-1.840000000000000080e+00,7.814646363258361816e-01
2.652434150856013861e+00,-4.700000000000000000e+01,-1.879999999999999893e+00,7.772209644317626953e-01
2.669116126647561149e+00,-4.700000000000000000e+01,-1.879999999999999893e+00,7.758098244667053223e-01
2.685798102439108437e+00,-4.700000000000000000e+01,-1.879999999999999893e+00,7.736098766326904297e-01
2.702480078230655725e+00,-4.700000000000000000e+01,-1.879999999999999893e+00,7.743555307388305664e-01
2.719162054022203012e+00,-4.700000000000000000e+01,-1.879999999999999893e+00,7.713506817817687988e-01
2.735844029813750300e+00,-4.600000000000000000e+01,-1.840000000000000080e+00,7.709403634071350098e-01
2.752526005605297144e+00,-4.400000000000000000e+01,-1.760000000000000009e+00,7.722534537315368652e-01
2.769207981396844431e+00,-4.500000000000000000e+01,-1.800000000000000044e+00,7.718265652656555176e-01
2.785889957188391719e+00,-4.500000000000000000e+01,-1.800000000000000044e+00,7.709506154060363770e-01
2.802571932979939007e+00,-4.800000000000000000e+01,-1.919999999999999929e+00,7.734245657920837402e-01
2.819253908771486294e+00,-4.800000000000000000e+01,-1.919999999999999929e+00,7.771813273429870605e-01
2.835935884563033582e+00,-4.800000000000000000e+01,-1.919999999999999929e+00,7.802698016166687012e-01
2.852617860354580870e+00,-4.800000000000000000e+01,-1.919999999999999929e+00,7.803496122360229492e-01
2.869299836146128158e+00,-4.900000000000000000e+01,-1.959999999999999964e+00,7.799078822135925293e-01
2.885981811937675445e+00,-4.900000000000000000e+01,-1.959999999999999964e+00,7.789878249168395996e-01
2.902663787729222733e+00,-4.900000000000000000e+01,-1.959999999999999964e+00,7.781574726104736328e-01
2.919345763520770021e+00,-5.000000000000000000e+01,-2.000000000000000000e+00,7.743640542030334473e-01
2.936027739312317308e+00,-5.000000000000000000e+01,-2.000000000000000000e+00,7.736691832542419434e-01
2.952709715103864596e+00,-5.000000000000000000e+01,-2.000000000000000000e+00,7.738293409347534180e-01
2.969391690895411884e+00,-5.000000000000000000e+01,-2.000000000000000000e+00,7.725410461425781250e-01
2.986073666686958727e+00,-5.000000000000000000e+01,-2.000000000000000000e+00,7.718295454978942871e-01
